
#,Company,Symbol,Weight,Price,Chg,% Chg
1,Apple Inc.,AAPL,6.530362,   134.28,2.72,(2.07%)
2,Microsoft Corporation,MSFT,5.97937,   251.92,4.27,(1.72%)
3,Amazon.com Inc.,AMZN,3.000441,   108.56,2.34,(2.20%)
4,Alphabet Inc. Class A,GOOGL,2.080676,   2188.80,45.93,(2.14%)
5,Alphabet Inc. Class C,GOOG,1.92058,   2203.00,45.69,(2.12%)
6,Tesla Inc,TSLA,1.761653,   670.19,19.91,(3.06%)
7,Berkshire Hathaway Inc. Class B,BRK-B,1.565729,   272.50,4.42,(1.65%)
8,Johnson & Johnson,JNJ,1.439552,   171.33,1.87,(1.10%)
9,UnitedHealth Group Incorporated,UNH,1.370373,   455.00,2.94,(0.65%)
10,NVIDIA Corporation,NVDA,1.283692,   163.81,5.01,(3.15%)
11,Meta Platforms Inc. Class A,META,1.212349,   166.55,2.81,(1.72%)
12,Exxon Mobil Corporation,XOM,1.171171,   88.85,2.73,(3.17%)
13,JPMorgan Chase & Co.,JPM,1.071705,   115.33,2.30,(2.03%)
14,Procter & Gamble Company,PG,1.025212,   133.96,1.60,(1.21%)
15,Visa Inc. Class A,V,1.009492,   193.82,3.81,(2.01%)
16,Chevron Corporation,CVX,0.941171,   152.00,3.62,(2.44%)
17,Home Depot Inc.,HD,0.903163,   274.25,3.52,(1.30%)
18,Mastercard Incorporated Class A,MA,0.862697,   315.70,5.01,(1.61%)
19,Pfizer Inc.,PFE,0.842823,   46.99,0.46,(0.99%)
20,AbbVie Inc.,ABBV,0.788849,   139.76,1.48,(1.07%)
21,Coca-Cola Company,KO,0.748535,   60.02,0.59,(0.99%)
22,Eli Lilly and Company,LLY,0.74061,   293.78,2.88,(0.99%)
23,Bank of America Corp,BAC,0.730578,   32.59,0.67,(2.10%)
24,PepsiCo Inc.,PEP,0.70107,   159.42,2.36,(1.50%)
25,Merck & Co. Inc.,MRK,0.690813,   85.19,0.57,(0.67%)
26,Verizon Communications Inc.,VZ,0.664733,   49.60,0.57,(1.16%)
27,Broadcom Inc.,AVGO,0.657245,   505.88,7.23,(1.45%)
28,Costco Wholesale Corporation,COST,0.63915,   451.03,4.34,(0.97%)
29,Thermo Fisher Scientific Inc.,TMO,0.63301,   518.01,17.11,(3.42%)
30,Cisco Systems Inc.,CSCO,0.581897,   43.88,0.49,(1.13%)
31,Abbott Laboratories,ABT,0.579558,   103.76,1.23,(1.20%)
32,Accenture Plc Class A,ACN,0.563094,   276.96,1.58,(0.57%)
33,McDonald's Corporation,MCD,0.559573,   238.70,4.32,(1.84%)
34,Comcast Corporation Class A,CMCSA,0.558674,   38.83,0.12,(0.31%)
35,Walt Disney Company,DIS,0.554744,   95.99,1.65,(1.75%)
36,Adobe Incorporated,ADBE,0.550332,   361.25,0.46,(0.13%)
37,Walmart Inc.,WMT,0.536122,   119.35,1.06,(0.90%)
38,Salesforce Inc.,CRM,0.523637,   166.95,3.69,(2.26%)
39,Bristol-Myers Squibb Company,BMY,0.507037,   74.50,0.73,(0.99%)
40,Danaher Corporation,DHR,0.498438,   238.02,-0.58,(-0.24%)
41,Philip Morris International Inc.,PM,0.490162,   98.41,0.46,(0.47%)
42,Intel Corporation,INTC,0.488021,   37.58,0.61,(1.65%)
43,Linde plc,LIN,0.472271,   296.58,5.90,(2.03%)
44,Wells Fargo & Company,WFC,0.470855,   39.30,0.82,(2.13%)
45,NextEra Energy Inc.,NEE,0.449075,   71.49,0.68,(0.96%)
46,AT&T Inc.,T,0.447897,   19.57,0.19,(0.98%)
47,Texas Instruments Incorporated,TXN,0.446645,   153.07,2.87,(1.91%)
48,NIKE Inc. Class B,NKE,0.441091,   109.47,2.13,(1.98%)
49,Qualcomm Incorporated,QCOM,0.437461,   123.69,2.70,(2.23%)
50,Raytheon Technologies Corporation,RTX,0.427162,   89.44,0.56,(0.63%)
51,Advanced Micro Devices Inc.,AMD,0.426731,   83.78,2.21,(2.71%)
52,Union Pacific Corporation,UNP,0.418566,   209.00,2.55,(1.24%)
53,United Parcel Service Inc. Class B,UPS,0.405603,   171.59,0.52,(0.30%)
54,Amgen Inc.,AMGN,0.404791,   237.99,3.27,(1.39%)
55,Honeywell International Inc.,HON,0.394907,   181.69,1.99,(1.11%)
56,International Business Machines Corporation,IBM,0.392046,   136.27,1.25,(0.93%)
57,ConocoPhillips,COP,0.391421,   95.45,1.71,(1.82%)
58,Medtronic Plc,MDT,0.381541,   88.64,0.42,(0.48%)
59,CVS Health Corporation,CVS,0.374919,   88.98,0.32,(0.36%)
60,Lowe's Companies Inc.,LOW,0.368105,   174.60,2.13,(1.23%)
61,S&P Global Inc.,SPGI,0.358495,   321.13,1.20,(0.38%)
62,American Tower Corporation,AMT,0.354298,   243.17,7.00,(2.96%)
63,Anthem Inc.,ANTM,0.34649,   444.32,0.00,(0.00%)
64,Oracle Corporation,ORCL,0.343551,   69.00,1.28,(1.89%)
65,Intuit Inc.,INTU,0.33709,   382.91,13.20,(3.57%)
66,Caterpillar Inc.,CAT,0.331702,   195.65,3.01,(1.56%)
67,Morgan Stanley,MS,0.329344,   74.14,1.24,(1.70%)
68,Goldman Sachs Group Inc.,GS,0.31022,   286.72,6.93,(2.48%)
69,Lockheed Martin Corporation,LMT,0.308898,   409.25,5.24,(1.30%)
70,Charles Schwab Corp,SCHW,0.292077,   61.57,1.58,(2.63%)
71,Citigroup Inc.,C,0.291637,   47.66,1.14,(2.45%)
72,Deere & Company,DE,0.291399,   328.82,6.10,(1.89%)
73,ServiceNow Inc.,NOW,0.287183,   452.20,8.41,(1.90%)
74,American Express Company,AXP,0.283914,   146.00,1.82,(1.26%)
